UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	RatingFromNoShow_DQ	RatingFromRealPlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict	MaxRatingAtStart
890EEF14-DACA-451E-AE0D-EE7454D996FD	ASOAWELS	Steam	94	0	56	39	19	3	20	51.28	-277	295	18	2	4	2	0	2	5	2	14 / 5 / 0	8 / 0 / 0	8	true	2026-09-28 00:00:00	BANNED	137
A6255AD3-8198-49A9-A27F-B3643B0D994A	Saintmnk	Steam	81	0	10	37	11	3	26	70.27	-326	317	-9	4	3	0	0	8	3	1	11 / 0 / 0	7 / 0 / 0	7	true	2026-09-28 00:00:00	BANNED	50
C7B81940-4368-4604-9FB8-B487FA03AE0F	HEAVENFALL	Steam	65	0	25	29	10	1	19	65.52	-278	265	-13	4	1	1	5	7	3	3	6 / 4 / 0	4 / 2 / 0	6	true	2026-09-26 00:00:00	BANNED	130
11AAA18E-D387-4431-B195-60130CEEB90B	MrAl3xXx	Steam	110	11	64	27	9	0	18	66.67	-236	228	-8	1	2	3	0	4	3	3	6 / 3 / 0	5 / 1 / 0	6	true	2026-09-28 00:00:00	BANNED	136
4B47AE81-1B95-4BB2-9B21-77186189665A	RubyMarlinSultan	Steam	110	1	90	27	11	0	16	59.26	-221	311	90	3	2	0	0	3	2		9 / 2 / 0	5 / 0 / 0	5	true	2026-09-28 00:00:00	BANNED	102
F19AB1BB-4482-459D-9D4B-B8BB753FFFFE	SoRA6r	Steam	106	0	62	16	7	1	9	56.25	-125	159	34	4	1	0	0	8	2	2	7 / 0 / 0	5 / 0 / 0	5	true	2026-09-28 00:00:00	BANNED	78
250A6AB6-AF79-454F-881B-7AF2655A970E	loseloop	Steam	103	16	0	20	4	0	16	80.00	-223	157	-66	3	1	0	4	10	11	10	4 / 0 / 0	4 / 0 / 0	4	true	2026-09-29 00:00:00	BANNED	35
9757FD6A-8435-409A-9F83-33214AF80424	TrcikLowFiv	Steam	104	0	762	2	0	0	2	100.00	-40	0	-40	0	0	0	0	29	20	19	0 / 0 / 0	0 / 0 / 0	0	true	2026-10-26 00:00:00	BANNED
