UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	RatingFromNoShow_DQ	RatingFromRealPlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict
C7D41236-082F-461D-9A2F-B6642FA5D4AF	Da Sneaky Snake	XBox	106	14	0	65	20	2	45	69.23	-676	445	-231	9	2	2	7	14	6	9	18 / 0 / 2	13 / 0 / 0	13	true	2026-08-11 00:00:00	BANNED
6572E942-F8A7-4F7B-915E-007F21D6E81C	alphaBiTsoop16	XBox	59	0	0	64	14	1	50	78.13	-732	293	-439	3	2	1	0	5	5	3	14 / 0 / 0	6 / 0 / 0	6	true	2026-07-27 00:00:00	BANNED
8E72CB93-B58C-4FA8-A647-580AFEDB7B44	Sir Mijael	XBox	68	0	121	19	10	0	9	47.37	-126	186	60	2	1	3	0	4	1	5	7 / 1 / 2	6 / 0 / 0	6			WATCH
445F4A4A-A904-4FE7-8890-57B67E93F861	CraddiePoosta	XBox	94	1	46	20	5	0	15	75	-183	141	-42	3	1	0	3	11	5	6	5 / 0 / 0	4 / 0 / 0	4	true	2026-08-11 00:00:00	BANNED
