UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	RatingFromNoShow_DQ	RatingFromRealPlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict
E25C082E-8A19-4236-AA8B-C345137E9EA3	STARI40K_YT	PlayStation	108	6	131	35	15	1	20	57.14	-274	350	76	5	2	0	0	7	1	1	11 / 4 / 0	7 / 0 / 0	7	true	2026-07-13 00:00:00	BANNED
78C4A65F-EF45-482A-A125-88D71973013B	Mr-crimson-21	PlayStation	110	2	97	27	8	0	19	70.37	-288	329	41	3	2	2	0	5	3	2	7 / 1 / 0	7 / 0 / 0	7	true	2026-06-29 00:00:00	BANNED
8F36F30F-ADE0-4D9A-BC88-765AE61E5384	IIGot-_-Smoked	PlayStation	63	0	81	31	20	11	11	35.48	-143	212	69	3	1	2	0	7	2	2	12 / 7 / 1	6 / 0 / 0	6	true	2026-07-13 00:00:00	BANNED
D8CDE1EE-38B7-4CD1-AD46-A8B093491C6C	Ttv_s4muka019	PlayStation	110	3	918	48	28	2	20	41.67	-288	211	-77	2	1	2	0	7	8	11	0 / 21 / 7	0 / 4 / 1	5			WATCH
B879AB80-43E5-455F-A045-B5A28480AF04	rabolio41100	PlayStation	110	1	77	33	15	3	18	54.55	-252	232	-20	2	0	3	0	4	2	5	11 / 4 / 0	5 / 0 / 0	5			WATCH
4E9F05E9-6210-49B6-96FC-A03EAED8473E	mingocai_10	PlayStation	110	42	0	46	12	2	34	73.91	-508	141	-367	0	0	4	0			5	12 / 0 / 0	4 / 0 / 0	4			WATCH
