UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	Unproductive	UnproductiveSharePct	RatingFromUnproductive	RatingFromNoShow_DQ	RatingFromProductivePlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict	MaxRatingAtStart
92517835-3C2F-449D-AE3E-1ECEBE9E656A	I JEEPERS I	XBox	87	0	108	28	12	0	16	57.14	16	57.14	-238	-238	153	-85	2	2	1	0	6	4	5	4 / 8 / 0	4 / 1 / 0	5	true	2026-10-05	BANNED	139
4E051EAE-C2A0-4473-AD49-67E48AAF0775	KovlekPlayz	XBox	92	0	30	13	5	0	8	61.54	8	61.54	-108	-108	122	14	1	2	2	0	5	7	9	5 / 0 / 0	5 / 0 / 0	5			WATCH	27
1C653428-2C77-4F8E-8194-422AA3D63C8F	o Lord Mac o	XBox	88	0	0	35	10	0	25	71.43	25	71.43	-374	-374	210	-164	4	0	0	0	4			8 / 2 / 0	4 / 0 / 0	4	true	2026-10-05	BANNED	133
