UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	RatingFromNoShow_DQ	RatingFromRealPlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict
13EC8B47-BA33-4510-9CF7-9C365E0BD267	LuizFernandoo	Steam	110	366	0	55	13	0	42	76.36	-577	391	-186	6	3	0	7	21	12	12	13 / 0 / 0	9 / 0 / 0	9	true	2026-08-31 00:00:00	BANNED
185A2CBA-35C6-4E6A-9313-892A41A2E8C9	BarbosUa	Steam	110	20	17	65	27	0	37	56.92	-536	499	-37	3	3	2	2	5	7	5	22 / 5 / 0	8 / 0 / 0	8	true	2026-08-16 00:00:00	BANNED
A0239A6D-6CF4-48ED-92C5-7EDDFD118C76	MORPH3US	Steam	108	0	0	47	18	1	28	59.57	-421	309	-112	3	4	1	2	5	10	3	11 / 6 / 1	8 / 0 / 0	8	true	2026-08-31 00:00:00	BANNED
5ED0507E-3D58-4FA7-B5C5-A3DF361B791F	FarantirPL	Steam	92	0	0	30	9	1	21	70	-297	256	-41	2	2	2	0	7	8	8	7 / 2 / 0	5 / 1 / 0	6	true	2026-08-31 00:00:00	BANNED
56F4B6B1-CDA8-43A7-9BC6-9DD2EFDAEBC2	ELPEZGORDO12	Epic	58	0	155	32	21	4	11	34.38	-136	291	155	4	2	0	1	4	2		11 / 10 / 0	6 / 0 / 0	6	true	2026-08-16 00:00:00	BANNED
135725A2-637F-44F3-8389-DF61B85F4E67	X1aoDouYa	Steam	95	17	884	22	11	2	11	50	-157	231	74	1	1	3	0	22	21	26	0 / 11 / 0	0 / 5 / 0	5	true	2026-06-17 00:00:00	WATCH
F80DF54F-B077-4665-9822-A43414055B1E	EsseDouble	Steam	110	20	805	59	37	2	22	37.29	-299	299	0	1	2	1	0	9	12	9	0 / 37 / 0	0 / 4 / 0	4	true	2026-06-17 00:00:00	WATCH
DA1E5723-6F95-4600-98CD-F3E680E5163E	wallims	Steam	110	2	25	29	11	1	18	62.07	-247	229	-18	3	1	0	0	7	4	5	11 / 0 / 0	4 / 0 / 0	4	true	2026-08-31 00:00:00	BANNED
4002E06B-BC41-456A-BDF1-84CF2F7B5B05	aperno	Steam	110	1	91	26	10	1	15	57.69	-213	216	3	2	1	1	4	7	4	5	8 / 2 / 0	4 / 0 / 0	4	true	2026-08-16 00:00:00	BANNED
132E8BE9-7515-4898-B4D6-ACF7FADE37C7	Aorney	Steam	96	9	158	17	8	1	9	52.94	-120	188	68	4	0	0	0	21	19	19	7 / 1 / 0	3 / 1 / 0	4	true	2026-09-28 00:00:00	BANNED
