UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	RatingFromNoShow_DQ	RatingFromRealPlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict
E81A2739-534A-4299-80E7-7BF54B573BE8	nggaaah	Win10	44	0	83	21	11	3	10	47.62	-190	150	-40	5	1	0	0	11	3	1	8 / 3 / 0	6 / 0 / 0	6	true	2026-06-22 00:00:00.000	BANNED
AE6A4BC7-2DBF-4662-B5C3-7A8296A0F387	Bejk76 cz	XBox	106	9	6	44	8	0	36	81.82	-517	242	-275	3	1	0	0	5	4	3	7 / 1 / 0	4 / 0 / 0	4	true	2026-06-22 00:00:00.000	BANNED
82DA4897-61AB-4B56-BD82-4C654B54B7DA	Bizkit3209	XBox	81	0	20	46	12	2	34	73.91	-466	149	-317	4	0	0	0	5	6	3	6 / 4 / 2	4 / 0 / 0	4	true	2026-06-22 00:00:00.000	BANNED
