UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	RatingFromNoShow_DQ	RatingFromRealPlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict
6DE2B7AD-6EA2-4F67-AB64-2C4CD4CBCDCA	Mjolnir8761	XBox	75	0	138	39	22	2	17	43.59	-314	381	67	5	5	2	0	8	5	2	14 / 1 / 7	10 / 1 / 1	12	true	2026-08-31 00:00:00	BANNED
88C77680-87E5-4432-B7D2-13414EA0FB78	eMadkiller5964	XBox	83	0	69	26	7	0	19	73.08	-262	167	-95	1	2	1	0	2	2	2	5 / 1 / 1	4 / 0 / 0	4			WATCH
646EFD1D-3A4B-4D62-B8CF-D3BC767AC646	Pilou625057	Win10	45	0	165	33	18	1	15	45.45	-194	166	-28	1	2	1	0	3	5	2	6 / 3 / 9	2 / 1 / 1	4			WATCH
