UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	RatingFromNoShow_DQ	RatingFromRealPlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict
35ED0E4A-4ACB-4072-B23A-10D5B5578FEA	vlad_spain	PlayStation	91	0	89	58	18	3	40	68.97	-555	486	-69	3	6	2	0	5	9	4	17 / 1 / 0	11 / 0 / 0	11	true	2026-08-10 00:00:00	BANNED
A79865B8-46C4-4BF1-86F5-B0B4D98D9BD2	autoteo78	PlayStation	100	0	937	39	21	1	18	46.15	-255	253	-2	4	3	1	0	12	13	12	0 / 19 / 2	0 / 8 / 0	8			WATCH
EBC824AC-464E-4186-B896-A937A0599D6C	HIflyfishingGH	PlayStation	98	0	123	28	12	0	16	57.14	-246	303	57	2	4	2	0	3	6	3	10 / 2 / 0	8 / 0 / 0	8			WATCH
E7A97DAF-078E-4907-BE9F-7504C1118C7C	KondaFlk	PlayStation	99	0	48	61	7	0	54	88.52	-724	364	-360	6	1	0	5	9	4	2	7 / 0 / 0	7 / 0 / 0	7	true	2026-08-08 00:00:00	BANNED
C896536D-28FA-4785-A85E-48C27B947590	Panonski_Alas	PlayStation	110	33	988	37	25	2	12	32.43	-174	173	-1	3	0	3	0	32	21	27	0 / 17 / 8	0 / 4 / 2	6	true	2026-06-01 00:00:00	WATCH
74BF1938-4FF2-4263-B0C1-A9FFB4AF77D1	ThorUs422	PlayStation	80	0	105	53	19	0	34	64.15	-500	407	-93	2	2	1	0	2	4	6	19 / 0 / 0	5 / 0 / 0	5			WATCH
D7B6151C-3905-4469-801D-9FC6B06FD87A	La_Iena_River_	PlayStation	87	0	145	23	13	2	10	43.48	-134	160	26	4	1	0	0	17	21	21	5 / 8 / 0	5 / 0 / 0	5			WATCH
5C6CCA83-E3E1-4CC5-9CAD-A53CB783507A	Alien_Back	PlayStation	102	0	85	34	23	7	11	32.35	-155	69	-86	0	2	2	0	1	2	4	10 / 12 / 1	4 / 0 / 0	4			WATCH
