line
"2026-08-07T16:17:30Z	CHEAT: (1) Line has high extension too often Actual: 0.872337046113108, Limit (max): 0.400000005960464"
"2026-08-07T16:18:56Z	CHEAT: (1) Line has high extension too often Actual: 0.850689661341469, Limit (max): 0.400000005960464"
"2026-08-07T16:19:44Z	CHEAT: (1) Line has high extension too often Actual: 0.839465679778765, Limit (max): 0.400000005960464"
"2026-08-07T16:20:53Z	CHEAT: (1) Line has high extension too often Actual: 0.869966729594114, Limit (max): 0.400000005960464"
"2026-08-07T16:24:57Z	CHEAT: (1) Line has high extension too often Actual: 0.913775389383196, Limit (max): 0.400000005960464"
"2026-08-07T16:26:09Z	CHEAT: (1) Line has high extension too often Actual: 0.907629153239981, Limit (max): 0.400000005960464"
"2026-08-07T16:30:08Z	CHEAT: (1) Line has high extension too often Actual: 0.873492664827205, Limit (max): 0.400000005960464"
"2026-08-07T16:30:13Z	CHEAT: (40) Friction force is too high Actual: 6.37069988250732, Limit (max): 6.34999990463257"
"2026-08-07T16:31:14Z	CHEAT: (1) Line has high extension too often Actual: 0.886643162912354, Limit (max): 0.400000005960464"
"2026-08-07T18:08:16Z	About to process tournament Competition #376098 'Einer nach dem Anderen' result. Place: 14"
"2026-08-07T18:08:16Z	Tournament reward Competition #376098 'Einer nach dem Anderen' added CompetitionRating -1 (90 -> 89)"
"2026-08-07T18:09:43Z	Player started scoring time for Competition #376099 'Ein wirklich einzigartiges Rennen!' in Group A. IP: 92.209.150.144, Mac: 2ccc447afcee"
"2026-08-07T18:16:58Z	CHEAT: (10) Fish catch distance is long Actual: 6.13208818435669, Limit (max): 5.40000009536743"
"2026-08-07T19:21:40Z	CHEAT: (10) Release unknown fish"
"2026-08-07T19:21:46Z	CHEAT: (10) Release unknown fish"
"2026-08-07T23:32:05Z	About to process tournament Competition #376099 'Ein wirklich einzigartiges Rennen!' result. Place: "
"2026-08-07T23:32:05Z	Tournament reward Competition #376099 'Ein wirklich einzigartiges Rennen!' added CompetitionRating -6 (89 -> 83)"
"2026-08-07T23:33:09Z	Player registered for Competition #376102 'Schwimmer und Quappe'"
"2026-08-08T00:41:21Z	Player started scoring time for Competition #376102 'Schwimmer und Quappe' in Group A. IP: 92.209.150.144, Mac: 2ccc447afcee"
"2026-08-08T01:20:40Z	CHEAT: (40) Boat updates time is incorrect updatesDuration: 290.2147676, ingameDuration (min): 298.1934509. Position: (327.0082,-0.08408877,368.346)"
"2026-08-08T03:41:03Z	About to process tournament Competition #376102 'Schwimmer und Quappe' result. Place: "
"2026-08-08T03:41:03Z	Tournament reward Competition #376102 'Schwimmer und Quappe' added CompetitionRating -7 (83 -> 76)"
"2026-08-08T03:42:28Z	Player registered for Competition #376105 'Lachs kommt um Mitternacht'"
"2026-08-08T03:43:08Z	Player registered for Competition #376106 'Welsprüfung'"
"2026-08-08T03:43:09Z	Player unregistered from Competition #376106 'Welsprüfung'"
"2026-08-08T18:39:16Z	About to process tournament Competition #376105 'Lachs kommt um Mitternacht' result. Place: "
"2026-08-08T18:39:16Z	Tournament reward Competition #376105 'Lachs kommt um Mitternacht' added CompetitionRating -13 (76 -> 63)"
"2026-08-09T02:18:39Z	Player registered for Competition #376121 'Auf die Größe kommt es an'"
"2026-08-09T02:18:53Z	Player registered for Competition #376116 'Einer von uns für zwei Rapfen'"
"2026-08-09T02:19:02Z	Player registered for Competition #376119 'Sibirischer Khan'"
"2026-08-09T02:19:03Z	Player unregistered from Competition #376119 'Sibirischer Khan'"
"2026-08-09T02:19:08Z	Player registered for Competition #376119 'Sibirischer Khan'"
