Matched nick	Level	Country	Is Payer	Duplicate?
KeepNetKing	69		Yes	
lesliep	102	GB	No	
dei1110	77	CL	Yes	
futbolkt21	62	US	Yes	
Fishingbro1861	41	US	Yes	
ifishforJSOC	49	US	Yes	
				
far5915	90	CA	Yes	
freddyhb	110	DE	Yes	
				
wiktarell	63	PL	Yes	
Max_MarlinHunter	64	NZ	Yes	
NoahDestroyer18	63	US	Yes	
OPBEAST337	41	NZ	Yes	
Aries	16		No	
W9USA	88	US	Yes	
Smokedsloth	78	US	Yes	
firenightwolf25	70	NL	Yes	
Fisgada_Neles	18	BR	No	
				
				
marny123	37	CZ	No	
ItsMeKirsty	107	GB	Yes	
tig3rjam56	76	NZ	Yes	
TheGood31	109	US	Yes	
Starwalker77	110	BG	Yes	
fidelius	85	HR	Yes	
				
BlackGoku09	64	US	Yes	
vizfish	64	US	Yes	
				
ShakenBake178	110	AU	Yes	
CelebratedSquidSaint	73	AU	Yes	
Batkapu	110	GB	Yes	
JoHaNMaatt	102	ES	Yes	
Benobi	58	AU	Yes	
Br3akx	72	DE	Yes	
Game_Addict79	21	US	Yes	
robettt	96	ID	Yes	
Timoteillo2	107	ES	Yes	
Neko7T7	73	NI	No	
Craigy	43	US	Yes	
DirkStarbuck	84	IT	Yes	
TheGate_SA	71	ZA	Yes	
Andylemming	47	US	Yes	
jaffa	17		Yes	
Quantumcow15	54	AU	Yes	
MoldenXDemon	24	AU	Yes	
MWfishing	41	US	No	
umadbruh62-vicep	87	US	Yes	
itzvadim	65		Yes	
LeopoldStotch	91	DZ	No	
Karrijo	34	BR	Yes	
Gress_Trout	76	IT	Yes	
MikeschV	83		Yes	
UASergiyOdessa	85	UA	Yes	
The_Alpha	4	ID	No	
mbokne_ancok	97	ID	No	
aiden	2		No	
melhor_pescador123	60	BR	Yes	
LibYaA	54	LY	No	
TylerWP2012	62	GB	Yes	
BigDuckEnergy	4	US	No	
Hunter68	56	DE	Yes	
Twitch_sandersog	100	UA	Yes	
Abe389	39	EG	No	
bazookabob45	104	US	Yes	
Platini2000	110	NL	Yes	
				
ARGENTOfjg	91	AR	Yes	
				
TH3VO1DWALK3R	84	US	Yes	
Mcloven-69	96	US	No	
DeathMachineUA_gaming	95	UA	Yes	
lordminecraftxc	43	CA	Yes	
kunamutaorez	110	GR	Yes	
VXN00000	27	AU	No	
DJ.Step.77	110	BR	Yes	
BIRDOGNALO	57	IT	Yes	
Aethyr01	101	US	Yes	
darmaissme	58	ID	Yes	
Rozbojnik21	81	PL	Yes	
ChipDip710	96	CA	Yes	
sm3ll1nch33se	96	US	Yes	
sagsave	72	US	Yes	
JR271972	99	US	Yes	
DJengo8675	26	US	Yes	
RemusPesca	85	BR	Yes	
Ahkmed	83	US	Yes	
Dbomb Deadly	57	CA	Yes	
junkymonkey258	58	US	Yes	
Velardi_77	99	IT	Yes	
				
OdinTheWise01	110	US	Yes	
Daggor	41	US	Yes	
Gwantas	99	ZA	Yes	
fatefulkrom	90	US	Yes	
rubenvillalvaro	68	ES	Yes	
JuacoGood	98	CL	Yes	
Ganesha_X_Kali	50	DE	Yes	
asfeas334	75	US	Yes	
J.YWADE	17	PH	No	
libertysion	69	US	Yes	
				
NubdaMonke	43	AU	Yes	
Fla1lydem0n	96	DE	Yes	
YOLLO.nico	86	FR	Yes	
Costwyn_69	74	US	Yes	
Sampei93	108	IT	Yes	
				
devilshank-	48	US	Yes	
Dinozz0	108		Yes	
FreeFire_270	75	CA	Yes	
WhiteEvo6	64	CA	Yes	
SpeedyE420	84	US	Yes	
quadstacks	75	US	Yes	
Viscan133	55	AU	Yes	
LiveTT-raihan_fattah	69	ID	Yes	
BananaBread420	54	AU	Yes	
kingwildzz	54	US	Yes	
l1zardlord	91	US	Yes	
hellyan_666	104	US	Yes	
MossFrog	110	AU	Yes	
merino_falador	105	BR	Yes	
Gman18	83	US	Yes	
AnakKampung	85	ID	Yes	
Toni_Pescador	90		No	
trey6wheels	44	US	Yes	
HeresAuntie	83	CA	Yes	
Butcher9189	103	US	Yes	
Captn_Jackhoff	99	US	Yes	
1Erjkb1	28	FR	No	
Gman18	83	US	Yes	DUPLICATE
pingukhan	41	CA	Yes	
Sil3ntFisher	26	US	Yes	
Gdub305	40	US	Yes	
ReadWave	53	JP	Yes	
hollisbot	72	US	Yes	
pike_muskieeeeee	40	US	Yes	
Daddy_Sav_DK	83	DK	Yes	
MonarK2011	40	AU	Yes	
Atuliki	109	DE	Yes	
				
Danadinho	53	BR	Yes	
				
irishtiger71	103	US	Yes	
FISHINPLANETDUDE	31	AU	Yes	
Zaypro64	75	US	Yes	
MajesticMinxi	78	CH	Yes	
mikroparasyte	68	US	Yes	
mangler3	91	US	Yes	
JATMAE	59	AU	Yes	
				
ODOROKIMOMONOKI	110	JP	Yes	
dragonfish12	106	PL	Yes	
j4h44	41	US	Yes	
Iurito7282	66	BR	No	
Space024	31		Yes	
JackieC	104		Yes	DUPLICATE
terpenesteve	100		Yes	
TheSchwartz	9	US	No	
Tonecapone1	43	CA	Yes	
canon4733	110	US	Yes	
				
dbltalk73	110	US	Yes	
Zink62320	110	FR	Yes	
Xaviersucksatfishing	80	AU	Yes	
Infernicus	68	US	Yes	
Northupt01	89	US	Yes	
Melrich	96	US	Yes	
				
DARTHSPHINX	106	CA	Yes	
Damien_E1	49	AU	Yes	
WarEagle312	101	US	Yes	
YUZU___888	76	AU	Yes	
BurnsyBruh	77	AU	Yes	
Mightynarwhal6	64	US	Yes	
Ghost_1483	110	AR	Yes	
PurrBurger	108	US	Yes	
PhilG	2	DE	No	
Navy	2	US	No	
Valleyrebel18	39	US	Yes	
Ramakaze	96	US	Yes	
malqan27	102	SG	Yes	
				
titolilo4	65	ES	Yes	
Jynxkies	98	US	Yes	
Yakn4Bass7	32	US	Yes	
XecaPT	106	PT	Yes	
rosco__17	98	CA	Yes	
				
FU_BlackPlague	107	US	Yes	
Frankie20213855	92	IN	Yes	
Tongiiii2TH	94	TH	Yes	
ZunThunder	53	US	Yes	
Vattghern_aen_Invaerne	110	UA	Yes	
BlueRaven_71	100	US	Yes	
				
Tsumonishi	59	US	Yes	
FabulousEelMercenary	54	US	Yes	
sdog1010	68	US	Yes	
CJSchmitz	110	BR	Yes	
ItBearded	26	US	Yes	
				
Skybax	94	IT	Yes	
Sacredsoul68	110	US	Yes	
RiceTheCat	54	CA	Yes	
WAR_CHUN	58	KZ	Yes	
Skyecat	70	US	Yes	
GoldCyprinus	109	US	Yes	
PondScumPrincess	86	AU	Yes	
GraySalmonDaddy79	39	US	Yes	
crimepickle09	57	US	Yes	
Tonytgff1	71	US	Yes	
dytlove929	101	HK	No	
CaTfIsHkInG330	83	US	Yes	
				
AndreswaiTV	85	CO	Yes	
paLe	21		No	
brydensdadsdad	19	CA	No	
Baryl_OG	40	PL	Yes	
U4GChaser	107	US	Yes	
LtChacal	86	AR	Yes	
MajesticWhirlpoolMystic	101	US	Yes	
Lun9Wao	110	TH	Yes	
special-meaning4	41	US	No	
DocDanger776233	94	US	Yes	
				
BlueOrchid7495	86	ID	No	
Rexlesser	83	US	Yes	
Lam28082012	69	VN	No	
				
andrea_uru	110	UY	Yes	
X 12gaJohn X	23	US	Yes	
Mattzs	86	BR	Yes	
Fleshka2284	68	US	Yes	
PitViper475	66	US	Yes	
emgaithoa	83	VN	Yes	
Lone_Wolf7445	106	NZ	Yes	
Minkawilson	64	AU	Yes	
teutonix	109	LU	Yes	
				
Nwag63	47	US	Yes	
nggaaah	35	ID	No	
jewkila	52	AU	Yes	
Focus_1314	87	TH	Yes	
S.winer	109	TH	No	
Godbrand3	74	US	Yes	
drchickenz	79	AU	Yes	
L1mitedHamb	39	ID	Yes	
jirvav	104	CZ	Yes	
FARWAN_XD	99	ID	No	
				
harrys92	2	AU	Yes	
Loak_J	110	JP	Yes	
				
Clean_speak	60	US	Yes	
bumpy	3	US	No	
NESSSSS	102	ID	No	
				
Icy_Jam	83	AU	Yes	
BayouRooster	95	US	Yes	
				
GoodGuyHits	90	NO	Yes	
feenz	110	AU	Yes	
Snipez_Ya	63	AU	Yes	
ozzyy	5		No	
ElaraCytheria	65	KZ	Yes	
Miguelo_333	109	ES	Yes	
Detilly	17	CA	No	
Oileater	4	DK	No	
CIRUJANOCEREBRAL	106	AR	Yes	
ChromeKhaos	64	US	Yes	
puziko	110	UA	Yes	
DrPuddlesTheFisherman	80	US	Yes	
				
froggy163	109	AU	Yes	
				
ArchyN0IR	34	ID	Yes	
PiierrOot	54	FR	Yes	
VITKOVNORFISHING	107	PL	Yes	
mayhem_cv	55		Yes	
				
fishing_Lemon	68	UA	Yes	
lach	5		No	
Schylger	65	NL	Yes	
DatCubuu	56	VN	Yes	
FabulousRoachLord52	37	US	Yes	
				
Dompag	56	FR	No	
Wolverine67	110	NO	Yes	
				
JajanONil	110	HR	Yes	
StrikePaduwww	25	MY	Yes	
art7018	58	GB	Yes	
gaetswdz	64	FR	Yes	
Dalargas	64	KZ	Yes	
Yuukiss	50	ID	Yes	
				
EvoBloem	62	ZA	Yes	
MacFishbone	68	DE	Yes	
DUYVUACAUCAVN	35	VN	No	
ReeLevan	40	US	Yes	
MatKopling	110	ID	No	
				
BOBT	5	AU	No	
Greenjoy	83	UA	Yes	
				
SOILFLIGHT	100	AU	Yes	
DaniloReis9	98	BR	Yes	
Kasi_Ro1	29	RO	Yes	
Tesco4524	79	IE	Yes	
FearTheReaper	18	US	Yes	
				
Karachekrak_ZP_UA	83	HR	Yes	
bluegillcasting	35	PL	Yes	
LilCeaser666	43	US	Yes	
Castix	44	ID	No	
AXE_47	75	ES	Yes	
NtotheRizzel	103	DE	Yes	
				
Sidewayskitzo420	97	AU	Yes	
				
				
billi.thea	88	ID	Yes	
				
Face apad12	41	HU	Yes	
Hraptor	109	IT	Yes	
				
linchk1	78	UA	Yes	
LordofSwords	28	US	No	
Veeno_MMJ	71		Yes	
				
Luzblus	77	PL	No	
				
OGScotty519	107	AU	Yes	
OutstandingBayouLord	17	CN	No	
HerbWerb	105	TR	Yes	
GamerAddict79	40	US	Yes	
HenryZ74	21	DE	Yes	
				
juan1416	94	AR	Yes	
				
COCOGLAM	44	US	No	
Uzermen	91	UA	Yes	
g-a-n-d-z-i-c	76	US	Yes	
MrAndrofy	83	UA	Yes	
Roman29020	93	UA	Yes	
				
Astronova	103	FR	Yes	
molinete de ouro	94		Yes	
Ttomika11t	64	HU	Yes	
				
ExigoLT	51		Yes	
Roald63	110	NL	Yes	
seattlefishman	24	US	No	
xzxtxzx	29	KZ	Yes	
Cowkiller	52	US	Yes	
AS_lanik88	110	PL	Yes	
SNEYKS_UA	84	UA	Yes	
asdfghi	28	DE	No	
GreenSandBaron	70	GB	Yes	
Ahnandy	110	BR	Yes	
				
Mokraya_Pisichka	100	UA	Yes	
Stay.with.Me	71	KR	Yes	
ste928	78	FR	Yes	
				
dantisch-Bemme3	14	DE	No	
Jekyll_Hyde	22	FR	Yes	
Buffy28630	110	US	Yes	
Dani_pescar18	87	RO	Yes	
LKWilliam	70	BR	Yes	
borys30034	38	PL	Yes	
0DIVE0	47	PL	Yes	
Keefe90	103	IE	Yes	
Tep	28	RU	Yes	
Lun9Wao	110	TH	Yes	DUPLICATE
Meer_Kat	95	UA	Yes	
nick7941	83	CH	Yes	
IceBlue78	83	DE	Yes	
				
szybki_wciagaczPL	39	PL	Yes	
Mba_Ika	43	ID	Yes	
MarineBoy_1970	110	KR	Yes	
				
OceansLegacy	110	AU	Yes	
Clanwolf	99	DE	Yes	
Hype_DS00	110	GB	Yes	
ArabSon32	107	UA	Yes	
bogdi201104	39	RO	No	
FantasticPerchDaddy62	29	US	Yes	
Lun9Wao	110	TH	Yes	DUPLICATE
SCHIZIKI	104	KZ	Yes	
Tim	28	DE	Yes	
				
				
IceBlue78	83	DE	Yes	DUPLICATE
				
karl	25	SE	Yes	
FamousCatfishBuster4	77	FR	Yes	
Beerguzzlingslob	102	US	Yes	
iceolater	66	NL	Yes	
MAXONIC_GAMING	108	ID	Yes	
marian	2		No	
Wolferina	72	PL	Yes	
kalyanovich_49	110	UA	Yes	
FIxieIsMonk	65	AU	Yes	
dc-maxdomino980	50	PL	Yes	
Sedith	84	PL	Yes	
Crison9	101	ES	Yes	DUPLICATE
Grigi_Bu	19	HR	Yes	
TRgame77	106	BR	Yes	
Opsblitz2330	79	US	Yes	
xifra2105	83	PY	Yes	
the1kbass	96	FR	Yes	
GreekFisherman2012	27	GR	Yes	
LuciNotCat	70	TR	No	
HruTeX	60	PL	Yes	
Brazenleader641	49	AU	No	
Kaupaczino	80	PL	Yes	
Pro142647	22	DE	Yes	
Cpt_Leukos	64	GR	Yes	
dangyu98	110	HK	Yes	
pescador_de_bagre	98	BR	Yes	
SeanOgMcC7	101	GB	Yes	
maxbo333	95	US	Yes	
BabaPikeFishing	100	FR	Yes	
ATD7	103	US	Yes	
AnglerBird	86	ID	Yes	
Asior	67		Yes	
Robeb	50	KR	No	
SmellyFishHook	92	US	Yes	
PuyuLayu	99	MY	Yes	
MrRhole	110	MY	Yes	
ThailandAmz	100	TH	Yes	
BigKarasik555	69	UA	No	
Conrad57	106	IT	Yes	
IFC_DabFace	96	ID	Yes	
L1nex10X	23	RS	No	
Night_Lord	46	PL	Yes	
schabernack66663	94	DE	No	
Flyfisher72	110	CA	Yes	
Lusien	108	UA	Yes	
				DUPLICATE
Cossie32	25	AU	Yes	
HunSkelper-JJ88	105	GB	Yes	
Piyakronn	64	TH	No	
nyankichi_cat	109	JP	Yes	
fran_phy	85	GB	Yes	
zjackobp	80	US	Yes	
Jake050	35	NL	Yes	
RybakZhoskiyInWorld	44	BY	Yes	
GGQfullsend	77	US	Yes	
Gooni3Games	85		Yes	
JacekBi	100	PL	No	
Alexandrox	65	IT	Yes	
				
				
Polpermannli	12	DE	No	
happylanding	77	DE	Yes	
turikitiyaetyann	100	JP	Yes	
balpesc	109	BR	Yes	
				
FlawedLemming	43	NL	Yes	
ruiteixeira10	109	PT	Yes	
MaZael	94	ES	Yes	
oahima	90	AR	Yes	
QuocKhoaFishing	36	VN	Yes	
junior	2		No	
Profolactic	55	US	Yes	
GustavoRamiroX	110	BR	Yes	
Palextiago1999	86	PT	Yes	
Harolduyyyy	76	PH	Yes	
Haplo8098	105	ES	Yes	
botmanv21	52	PL	Yes	
Rudy4209	55	PL	No	
Papuszek	50	PL	Yes	
1skk	65	UA	Yes	
EVEREST92	88	UA	Yes	
FU_TWILIGHT	110	ID	Yes	
C00TD0G	110	US	Yes	
RicM0	106	BR	Yes	
Balletjies	24	ZA	Yes	
				
MI_BEMOL	62	UA	Yes	
BadgerBaba12	110	US	Yes	DUPLICATE
habibbzee	76	US	Yes	
Szymus295	96	PL	Yes	
TiG3RFishMaster	105	RO	Yes	
WHOSTOLEMYKIDNEY	57	BG	Yes	
flash-fresh67	76	US	Yes	
Yasutomi	101	ES	Yes	
jesus1975	110	ES	Yes	
keradein	63		Yes	
Joao4z	81	BR	Yes	
eXXile	7	NO	No	
FU_Maximus	82	US	Yes	
FormerFishFarmer	69	US	Yes	
				
SHPROT769	57	UA	Yes	
BestNiina	108	TH	Yes	
Nacho.723	102	AR	Yes	
DOGGO	2		No	
ICannNike	104	US	Yes	
ChicoGalucio	110	BR	Yes	
				
laTaruchaAsesina	62	AR	Yes	
Sallyaoparda	45	ES	No	
trey6wheels	44	US	Yes	DUPLICATE
Aras-uk	67	GB	Yes	
Sebas_sk83	39	AR	No	
				
LTrain1979	54	US	Yes	
Solar384	41	US	Yes	
KOP_Glyce	102	CA	Yes	
Nano007_Lxp	110	MX	Yes	
Elton-The-Angler	110	SE	Yes	
SNOWKERAONE	76	DE	Yes	
				
Aesiour	48	US	Yes	
				
DemonicSir	63	US	Yes	
xxSi_wYxx	70	PL	Yes	
vFirestormv	50	US	Yes	
Guppyman	110	US	Yes	
SrK99	53	ES	Yes	
Paco_Barba	110	ES	Yes	
				
CrazyQuestAngler	110	US	Yes	
TheRoboloz	97	US	Yes	
robak280	110	PL	No	
fiestero45	109	ES	Yes	
TK-jerem	107		Yes	
Daumier6080	93	ES	Yes	
k11ORD	25	US	Yes	
Saturated 56	68	US	Yes	
ElMemazo55	31	MX	No	
HAR_Sabre	100	US	Yes	
xLxcky	110	GB	Yes	
abelf724	108	ES	No	
Ethan_Aubin	75	ES	Yes	
Just_Stefcho	43	BG	No	
BlueTroutChamp32	95	AU	Yes	
Simba797	109	ES	Yes	
GenghisKhan_101	92	US	Yes	
Jhanmaggot	70	CO	No	
hentaji.EXE	70	PL	Yes	
MUERE RATA1993	110	ES	Yes	
kindhearted02	99	US	Yes	
ELTITOGRAVY6	108	FR	Yes	
Keegen	98	US	Yes	
				
R_exter	73	MY	Yes	
Xugarus	72	AR	Yes	
Aleekunh	85	AR	Yes	
smaug_pt	48	PT	No	
Rekamtra1	75	US	Yes	
bodyboardtuga	51	PT	Yes	
tulcaz	70		Yes	
im_still_dreamin	110	UA	Yes	
FishingLegend83	89	AR	Yes	
Ffizzyy	39	ID	Yes	
24cristian24	48	ES	Yes	
				
MrBoontjies	34	ZA	No	
el_brayan_2707	44	AR	No	
CypherVX	105	AR	Yes	
Amnestesy	98	PT	Yes	
VictorCastle	38	CA	Yes	
AJKLONE	58	BR	Yes	
German-Ale-03	49	AR	Yes	
Marcos_Ale07	30	AR	No	
LupinEmi	59	MX	Yes	
lucas	2	ES	No	
Eziox22	84	US	Yes	
LeoncioLeal	106	MX	Yes	
WaneH_Maxou	83	FR	Yes	
Bank	1		No	
Rookie_Anglers	101	ID	No	
AXE_47	75	ES	Yes	DUPLICATE
Kiehlian	99	DE	Yes	
FantasticRoachGainer32	67	BE	Yes	
ReichWA	67	HK	No	
Knight_n_Dark	80	GB	Yes	
				
laraizguana	82	ES	Yes	
FalleN_NTC	96	RU	Yes	
kikiisbot	102	HR	Yes	
buhibuhi	102	JP	Yes	
Shawnie2469	105	US	Yes	
LuooFENG	53	ID	Yes	
ErwinNau	94	PY	Yes	
Arckivius	41	BG	No	
				
darkben666	62	BR	Yes	
Guru4All	51		Yes	
GeneralElite18	101	US	Yes	
nikitakard	67	IL	Yes	
vVvKylOvVv	43	PL	Yes	
BoltyHolo_33	53	US	Yes	
Mebah7	110	BR	Yes	
				
eljoakos	53	CL	Yes	
byDSL	109	BR	Yes	
				
BIG AL GREG	89	US	Yes	
Cartucho67	41	AR	Yes	
SyriouSx12	42	DE	Yes	
EAC-Palavino	63	NL	Yes	
Jakmads	36	SK	No	
				
Intoxicated354	66		Yes	
Pan_Gazownik	53	PL	Yes	
gkko321	35	NL	No	
DANKVKUSH420	74	US	Yes	
Dr1zzyDrake	68	US	Yes	
crawlspace	90	US	Yes	
magniak	102	FR	Yes	
CheweyBoi08	49	GB	Yes	
PowerfulCastingMystic	29	FR	No	
LE-PINPIN-COMMUN-DE-ST_JEAN-1	110	FR	Yes	DUPLICATE
Fifty9er	105	US	Yes	
YoDarkkTKTOK	75	US	Yes	
jeffdailey	110	US	Yes	
DannicolasFH	79	RO	Yes	
Djuka99	66	AT	Yes	
arandjell	78	DE	Yes	
				
Elemerri	22	FI	Yes	
				
BIgggyfishyyes	22	US	Yes	
				
dorigonn	72	BR	Yes	
BrenoPescaria	86	BR	Yes	
Muuczek	77	PL	Yes	
TheDroGod	96	US	Yes	
				
AGUA-DE-RIO	50	AR	Yes	
CordialWhirlpoolChampioness	10	TR	No	
Mr.Eli43	33	AR	No	
summer_tea	97	UA	Yes	
luca_4334	41	RO	No	
Alex0023	52	NO	Yes	
				
Tinelen	2	US	No	
Elbahri_16	57		No	
vetle11011	46	NO	Yes	
ranzz_fp	100	ID	Yes	
zorklo	43	NO	Yes	
Platyn2999	110	DE	Yes	
Aiko_n	66	PL	Yes	
werkuta	68	AT	Yes	
KOP_Gocapan	110	ID	Yes	
GumzOnMyPlumz	79		Yes	
				
fishio013	41	US	No	
andres2009	61	CL	No	
Saturn3100	94	PL	No	
				
Mercy1684	38	US	Yes	
andres2009	61	CL	No	DUPLICATE
KOP_Striker	110	US	Yes	
CaptianShake	36	US	Yes	
SuperStollen	62	SE	Yes	
Novo_Do_Rio	109	BR	Yes	DUPLICATE
EagleDark	96	FR	Yes	
PeixeCorneta89	44	ES	No	
KylenDykstra	55	US	Yes	
				
				
CCoombsy	4	US	No	
Benjamin-B03	110	US	Yes	
KevinboyQc	57	CA	Yes	
ZacKasoN	110	US	Yes	
Minsaleko	51	ES	Yes	
FishinInDa808	81	US	Yes	
				
Le_Ptit_Pecheur	86	CA	Yes	
Ivakis_Solo	67	BG	Yes	
pierrot14	104	FR	Yes	
				
el_lito1981	107	ES	Yes	
				
ptrybn	29	BE	No	
BadgerBaba12	110	US	Yes	DUPLICATE
Gatto666	84	AR	Yes	
				
To_Bober	79	UA	Yes	
MaumauFisher	41	DE	Yes	
ToFu32K	66	US	Yes	
JKrashMonkey	36	CA	Yes	
				
ReBeL_X_ZA	110	ZA	Yes	
				
				
CapsElite8	108	US	Yes	
bongholio	85	AU	Yes	
DesmondBenjamin44	20	ES	No	
FOCRJ	108	BR	Yes	
ElMister11	92	UY	Yes	
Melody	3	VN	No	
GeraldbatesX	89	US	Yes	
rad3kKK	19	CZ	Yes	
TigerG0d	36	CA	No	
DuskyTarponSeeker	44	US	Yes	
zNahuDX	74	AR	Yes	
Aserofth	44	ZA	Yes	
Nyoraco_Twitch	69	JP	Yes	
xXtoniboni13Xx	62	ES	Yes	
Proz_For_Life	107	CA	Yes	
LuisNH	93	MX	Yes	
RomanXavi	92	PL	Yes	
shootdeer	97	US	Yes	
AzaleiaRollpain	110	JP	Yes	
D4B0mb	79	US	Yes	
ChavitoPescador	106	UY	Yes	
guilletmon	79	MX	Yes	
				
DavidYW2	4	ES	No	
InsaneSquidSummoner	50	US	Yes	
For-Fishs-Sake	110	CA	Yes	
Lion_G	51	US	Yes	
Isaitami	68	AR	No	
IrrationalTackleSummoner	68	US	Yes	
kketas	71	US	Yes	
				
Cruzbear909	58	CA	Yes	
CRACOLOLO	93	ES	Yes	
NiceSalmonSaint57	28	US	No	
dtale1	105	US	Yes	
RingedEel223513	94	AU	Yes	
Pescamikis	77	ES	Yes	
DeclanWalsh	42	US	Yes	
Cantrip	66	CA	Yes	
DouGzao	77	BR	Yes	
Peedrinh0	86	BR	Yes	
Dyperdan	63	US	Yes	
Tooterrooskie	55	US	Yes	
				
DUB_SOULJA74	102	ZA	Yes	
GrumpyDuck	108	US	Yes	
Muskiepointer	60	TR	Yes	
Holdaboy18051	82	US	Yes	
sp0d3rm1n	21	US	No	
				
guyfish10	110	ES	Yes	
Rippin-Reels	75	US	Yes	
Davidd_rzz	101	MX	Yes	
Toasty2770	92	AU	Yes	
DarkNetDaddy	88	DE	Yes	
kennybaker	36	US	Yes	
Baldd_Howard	29	US	No	
Itsshan420	57	AU	Yes	
MonsterMaxxing	70	TH	Yes	
MortosDS	106	ZA	Yes	
Kiwi	3		No	
				
EnlightenedWhitefishPrince	19	US	No	
polo826	28	AR	No	
krvcifilth	57	AU	Yes	
ilieser	60	BR	Yes	
Jak0b320	44	PL	Yes	
brandin	2		No	
FamousQuestAssassin36	71	AU	Yes	
mvalenzg	18		No	
FamousQuestAssassin36	71	AU	Yes	DUPLICATE
TiGrE	78	ES	Yes	
				
ohafeesh	73	CA	Yes	
Ghost_2	24	US	Yes	
				
GreenBassSultan	86	US	Yes	
Virixiss	30	US	Yes	
DuriBambit	109	ID	Yes	
canaansmith18TTV	88	US	Yes	
vanderbosa	84	IT	Yes	
				
SahabatLaut69	81	ID	Yes	
MiroCrystal8S	100	DE	Yes	
SyNy673	102	AU	Yes	
Ivan1949	86	CO	Yes	
HookahCowboy	31	US	Yes	
Tistix	87	US	Yes	
Blankman	82	ID	Yes	
				
Catnapp	50	US	No	
				
CauVangBuDa	74	VN	Yes	
AlexGPTB	27	AU	Yes	
VandenT	52	US	No	
N111k0n	90	DE	Yes	
AmoebaLn2	88	US	Yes	
TrooperG10	68	US	Yes	
WildCat	2		No	
wolfplayz	2	GB	No	
CptCodeye	32	GB	No	
Super_CHI911	89	AR	No	
PanFishDelight	92	US	Yes	
Dompag	56	FR	No	DUPLICATE
Mboyak898	71	ID	Yes	
ShadowyPierSaint	86	FR	No	
Knowyy	68	PL	Yes	
Anton51970	101	TH	Yes	
peraltarichard82	78	AR	Yes	
RAZER_Ned	98	NL	Yes	
JJtrivella	56	IT	No	
SwiftLakeCaster	75	FR	Yes	
Communiqe	97	US	Yes	
ElsaErazorII	110	DE	Yes	
QThucFishing	28	VN	No	
Bonichkaa	70	RU	Yes	
Chooper36	91	AT	Yes	
lNatsulDragneel	105	DE	Yes	
BethanyATS	86	US	Yes	
Agripa	85	AR	Yes	
VV1lqu	67	GB	Yes	
MIKU_KITSUNE	71	UA	Yes	
DarkGhotsJ	84	CO	Yes	
pedrofp38	110	ES	Yes	DUPLICATE
kenshiki	103	ES	Yes	
UmutTR	60	TR	Yes	
jahervi	108	CO	Yes	
Blsde	2	SE	No	
				
KM56	97		Yes	
niksuxd	56	FI	Yes	
Kalumpa	85	IT	Yes	
TimdaFisherman	94	US	Yes	
Nutgravy	103	AU	Yes	
				
Kamina8	39	NZ	Yes	
Takayatodorokii	105	IT	Yes	
Hydromel	100	IT	Yes	
				
DeaDsh0t_YY	100	BY	Yes	
pillard-festif	110	FR	Yes	
tizu_basah	100	ID	Yes	
Milgy	42	AU	Yes	
UDEENSTARK	13	ID	No	
Sebago9414	103	FR	Yes	
Caionova123	22	IT	No	
argiris-dio	66	GR	Yes	
				
Apci	110	HU	Yes	
Shae	4		No	
polnocc	41	PL	Yes	
				
macaor	57	ES	No	
IDA_NILON100	87	ID	Yes	
FeartheReaper83	105	DE	Yes	
				
mo0606	95	DE	Yes	
Shyllo	110	FR	Yes	
O7_VIOLA	106	ID	Yes	
				
iLukys-	110	FR	Yes	
nunofrazao	67		Yes	
matieg5	18	NL	No	
Taipan	45		No	
wisniakG	55	PL	Yes	
VataFakIzDisz	75	HU	Yes	
Prost_Plovs	62	LV	Yes	
Edupu	47	LV	Yes	
				
fatboy_1954	72	US	Yes	
SzymonNa01	72	PL	No	
TdD_Woldon07YT	40	ES	No	
EmberWolf84	88		Yes	
				
Kaapojij	25	FI	No	
SkylarWolf	44	GB	Yes	
OSM_GRIMWORKSPLAYS	62	ZA	Yes	
Erik2541	57	CZ	No	
Gruwelijk1973	110	NL	Yes	
akirosan07	110	DE	Yes	
Helix3936	18	NC	No	
Wzdrega-Mateusz	72	PL	Yes	
Timek2080	20	SI	Yes	
alberto_arcana	110	ES	Yes	
hyppy1975-1	105	ES	Yes	
CapitanAkap	26	ES	No	
Patiecno	76	ES	No	
Querqu	65	PL	Yes	
				
EmeraldLakeButcher	61	AU	Yes	
DeSSman	28	KZ	No	
AlekBratva	54	DE	Yes	
ajyanesp	82	VE	Yes	
AzureAir2184164	84	IT	Yes	
JakeRiley	78	US	Yes	
Lambari_unico	20	BR	No	
JyrgenT	46	EE	Yes	
HUBERT5538	70	PL	Yes	
Siriopro	85	IT	Yes	
nepexx	69	UA	Yes	
AndrerSkinwalker	78	UA	Yes	
				
Mr_Vxli	62	HR	Yes	
				
				
PrincessCeleste	102	FI	Yes	
BaltazarNieobliczalnyJakV5	83	PL	Yes	
Sofiyaah	104	FI	Yes	
				
szablo76	106	PL	Yes	
gagisanin83	85	RS	Yes	
ecco500	56	PL	Yes	
JHorn	70	ZA	Yes	
0lszeski	66	PL	Yes	
				
Ventur4	74	HU	Yes	
Ribicc181	73	SI	Yes	
Muchomor_klasyczny	59	PL	Yes	
brycevotto1414	39	US	Yes	
a6l5e4x2	96	ES	Yes	
Thernadad	62		Yes	
Footmob	70	RU	Yes	
r1ck.gb	28	CN	No	
