Matched nick	Level	Country	Is Payer	Duplicate?
SuperWarrior627	99	US	Yes	
				
Crison9	101	ES	Yes	
				
				DUPLICATE
				DUPLICATE
Patriots_Fan2014	107	US	Yes	
DouglasMocz	110	BR	Yes	
PaksiwNiDrei	57	PH	No	
Tristonio16	86	GB	Yes	
Malviere	37		Yes	
DAVIDiLYNCH	107	PL	Yes	
rollefox	109	DE	Yes	
LONESTARBLUE	108	US	Yes	
J4kubson	110	PL	No	
TwiggyTristen	110	US	Yes	
navtrethegreat	58	CA	No	
kepersonn	93	PL	Yes	
VIETNAMxXx	91	JP	Yes	
O7_Mbudz	108	ID	Yes	
GraybeardEthics	90	CA	Yes	
				
D3W	63	TH	No	
AnarchyDGAF	100	US	Yes	
FP_MasterGamer	110	DE	Yes	
Nikkeus87	82	FI	Yes	
Smygel	65	US	No	
Hardus555	78	ZA	Yes	
honey_sook	89	AU	Yes	
PFG_radioheadwires	63	US	Yes	
Br00ther7	95	US	Yes	
Kahouette	84	FR	Yes	
Scoobydoo5291	78	GB	Yes	
ULAT	110	MY	Yes	
campi124	96	GB	Yes	
DSX DREAMZ	79	US	Yes	
TwiggyTristen	110	US	Yes	DUPLICATE
Darkev_21	110	FR	Yes	
MIGHTYARGYLE165	65	GB	Yes	
iiTzDRFTz	92	NZ	Yes	
FarmingTrucker74	99	US	Yes	
				
Alkazar719	85	US	Yes	
DarkPass77	110	CA	Yes	
MystiqueFoxy	81	ZA	Yes	
				
FrugoAZM	110	PL	Yes	
ScreamingWhale	89	DK	Yes	
				
Xx XAgAiNX xX	105	NL	Yes	
C_J_92	27	GB	Yes	
RosUnbent	110	UA	Yes	
				
Kevyn62	36	FR	No	
LE-PINPIN-COMMUN-DE-ST_JEAN-1	110	FR	Yes	
DemonChick-018	109	ZA	Yes	
TheEnty05	102	ES	Yes	
Neslo1	96	MY	Yes	
PapillonSerge	100	BE	Yes	
Taha351992	45	TR	No	
				
fewein	75	UA	Yes	
FOGGIA1920	110	IT	No	
				
xXoMERLINoXx	110	US	Yes	
AS_Heniek_Tgk	106	PL	Yes	
MrPandaEatsBrain	81	UA	Yes	
AItaricaFP	105	UA	Yes	
mescabug	87	CA	Yes	
ZottSahne89	83	DE	No	
AdrianE22	57	SE	Yes	
Villzz	72	PL	No	
VaperHunter	105	TR	Yes	
HaLiax	110	TH	Yes	
