t0	t1	slot	cyc	sec	end	species	fishId	kg	len	stamina	exp	expOf	dist	rodLen	fric	reelDur	boatSpeed	nan	tireWarn	putOnStand	moves	fastReeling	finishMove
2026-08-31T14:42:02.791Z	2026-08-31T14:43:56.262Z	1	1	113.5	caught	AtlanticHalibut	5271	72.548	1.740	0.8824996	12245	6652	35.7	1.6	11	68202	0.179	0	0	1	1388	42	1
2026-08-31T14:43:40.370Z	2026-08-31T14:44:31.627Z	2	1	51.3	caught	AtlanticHalibutY	5270	27.274	1.332	0.9338474	2819	2003	36.9	1.7	7	69025	0.309	0	1	1	1422		1
2026-08-31T15:42:40.746Z	2026-08-31T15:43:08.592Z	2	6	27.8	caught	EuropeanSeaSturgeonY	5308	35.146	1.729	0.9461876	4541	2158	28.8	1.7	7	68192	0.016	0	0	0	355	37	1
2026-08-31T15:45:03.727Z	2026-08-31T15:45:37.399Z	1	6	33.7	caught	EuropeanSeaSturgeonY	5308	42.046	1.901	0.9356095	5403	2581	34.4	1.6	11	65823	0.015	0	0	0	200		1
2026-08-31T15:46:39.204Z	2026-08-31T17:02:01.454Z	1	7	4522.3	cycle_finished								24.6	1.6	11	65735	0.020	0	0	0	1096	322	1
2026-08-31T17:33:25.076Z	2026-08-31T17:33:38.530Z	1	3	13.5	caught	AtlanticHalibutY	5270	24.765	1.269	0.9821799	2540	1819	36.4	1.6	11	64955	0.021	0	0	0	155		1
2026-08-31T17:34:36.570Z	2026-08-31T17:35:03.553Z	2	3	27.0	caught	AtlanticHalibut	5271	63.862	1.671	0.9770861	13086	5856	33.7	1.7	7	68082	0.266	0	0	0	85		1
2026-08-31T17:35:11.991Z	2026-08-31T17:45:05.097Z	1	4	593.1	caught	AtlanticHalibutT	5272	173.869	2.363	0.740787	66248	23308	35.9	1.6	11	64926	0.239	0	4	0	368		1
2026-08-31T17:45:55.312Z	2026-08-31T17:46:15.501Z	1	5	20.2	caught	AtlanticHalibutY	5270	24.202	1.255	0.9532335	2484	1778	38.4	1.6	11	63187	0.099	0	0	0	61		1
2026-08-31T17:47:30.785Z	2026-08-31T17:47:47.413Z	2	4	16.6	caught	AtlanticHalibut	5271	45.967	1.528	0.9816082	9042	4215	31.9	1.7	7	67998	0.125	0	0	0	164	30	1
2026-08-31T17:48:42.293Z	2026-08-31T17:50:22.236Z	1	6	99.9	caught	AtlanticHalibut	5271	74.026	1.752	0.9157137	14943	6788	37.4	1.6	11	63147	0.004	0	1	1	545		1
2026-08-31T17:52:21.730Z	2026-08-31T17:52:39.950Z	1	7	18.2	caught	AtlanticHalibutY	5270	19.300	1.133	0.9382115	1982	1418	33.8	1.6	11	62862	0.087	0	0	0	418		1
2026-08-31T17:54:05.826Z	2026-08-31T17:54:25.092Z	1	8	19.3	caught	AtlanticHalibutY	5270	24.084	1.252	0.9413523	2471	1769	33.4	1.6	11	62821	0.262	0	0	0	215		1
2026-08-31T17:54:56.810Z	2026-08-31T17:55:06.764Z	2	7	10.0	caught	AtlanticWolffish	5296	4.954	0.766	0.969954	1011	723	24.0	1.7	7	67764	0.113	0	0	0	114	17	1
2026-08-31T17:56:38.414Z	2026-08-31T17:56:58.063Z	2	9	19.6	caught	AtlanticWolffishU	5298	19.266	1.378	0.9451314	15725	11270	29.6	1.7	7	67734	0.116	0	0	0	208		1
2026-08-31T17:57:49.612Z	2026-08-31T17:58:03.456Z	2	10	13.8	caught	AtlanticHalibutY	5270	27.101	1.328	0.9814624	3447	1991	18.7	1.7	7	67687	0.081	0	0	0	23	14	1
2026-08-31T17:58:17.363Z	2026-08-31T17:58:38.270Z	1	9	20.9	cycle_finished								36.0	1.6	11	62776	0.149	0	0	1	103	23	1
2026-08-31T18:29:47.276Z	2026-08-31T18:31:54.977Z	2	2	127.7	caught	EuropeanSeaSturgeon	5309	92.041	2.478	0.9018715	17355	6936	46.9	1.7	7	67612	0.011	0	0	0	851		1
2026-08-31T18:34:23.775Z	2026-08-31T18:34:42.591Z	2	3	18.8	caught	AtlanticCod	5249	13.287	1.173	0.8957638	2321	1610	44.7	1.7	7	67243	0.019	0	0	0	652	48	1
2026-08-31T18:52:01.398Z	2026-08-31T18:52:17.782Z	1	5	16.4	caught	AtlanticHalibutY	5270	24.286	1.257	0.9609367	2573	1784	23.8	1.6	11	62706	0.051	0	0	0	108		1
2026-08-31T18:52:22.673Z	2026-08-31T18:53:40.051Z	2	5	77.4	caught	AtlanticHalibut	5271	58.694	1.630	0.9122263	11912	5382	23.8	1.7	7	66618	0.051	0	0	0	251		1
2026-08-31T18:55:25.297Z	2026-08-31T18:55:39.248Z	1	6	14.0	caught	Meagre	5299	14.698	1.110	0.9329005	2240	1552	23.6	1.6	11	62662	0.091	0	0	0	348		1
2026-08-31T18:57:36.118Z	2026-08-31T18:57:54.147Z	1	7	18.0	caught	AtlanticHalibutY	5270	28.561	1.364	0.9592528	3033	2098	31.4	1.6	11	62629	0.071	0	0	0	393		1
2026-08-31T19:00:23.835Z	2026-08-31T19:09:41.729Z	1	8	557.9	caught	AtlanticHalibutT	5272	151.859	2.231	0.6852661	57300	20358	27.7	1.6	11	62588	0.114	0	3	0	60	6	1
2026-09-03T18:26:34.957Z	2026-09-03T18:26:41.741Z	2	1	6.8	caught	EuropeanSeaSturgeonY	5308	44.647	1.966	0.9957252	4112	2741	33.2	1.7	7	65613	0.038	0	0	0	1271	2	1
2026-09-03T18:29:20.646Z	2026-09-03T18:29:27.224Z	1	3	6.6	caught	EuropeanSeaSturgeonY	5308	41.821	1.896	0.9913795	3570	2567	42.3	1.6	11	60910	0.039	0	0	0	2864		1
2026-09-03T18:30:08.664Z	2026-09-03T18:30:15.590Z	1	4	6.9	caught	EuropeanSeaSturgeonT	5310	159.884	3.279	0.9977169	39518	18740	36.4	1.6	11	60882	0.009	0	0	0	97		1
2026-09-03T18:31:28.867Z	2026-09-03T18:31:35.873Z	1	5	7.0	caught	EuropeanSeaSturgeon	5309	144.115	2.947	0.9967425	22659	10861	30.2	1.6	11	60857	0.036	0	0	0	1041	37	1
2026-09-03T18:32:52.771Z	2026-09-03T18:32:57.971Z	2	4	5.2	caught	EuropeanSeaSturgeonY	5308	38.526	1.813	0.9931193	3414	2365	41.1	1.7	7	65567	0.044	0	0	0	158		1
2026-09-03T18:39:21.718Z	2026-09-03T18:39:26.999Z	2	1	5.3	caught	EuropeanSeaSturgeonY	5308	34.324	1.708	0.9926118	2382	2107	22.3	1.7	7	65516	0.017	0	0	0	326		1
