n_g,n_s,n_b,promoted,TP,precision_LB,recall,F1
1,1,1,9904,72,0.007269789983844911,0.9113924050632911,0.014424521686867676
1,1,2,6004,67,0.011159227181878747,0.8481012658227848,0.02202860430708532
1,1,3,5882,67,0.011390683441006461,0.8481012658227848,0.022479449756752225
1,1,4,5871,67,0.0114120252086527,0.8481012658227848,0.022521008403361343
1,1,5,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,6,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,7,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,8,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,9,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,10,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,11,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,12,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,13,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,14,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,1,15,5870,67,0.01141396933560477,0.8481012658227848,0.022524794083039167
1,2,1,6791,68,0.010013252834634074,0.8607594936708861,0.019796215429403203
1,2,2,2680,62,0.023134328358208955,0.7848101265822784,0.04494382022471911
1,2,3,2540,60,0.023622047244094488,0.759493670886076,0.045819014891179836
1,2,4,2526,60,0.023752969121140142,0.759493670886076,0.046065259117082535
1,2,5,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,6,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,7,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,8,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,9,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,10,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,11,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,12,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,13,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,14,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,2,15,2525,60,0.023762376237623763,0.759493670886076,0.04608294930875576
1,3,1,6707,68,0.010138661100342925,0.8607594936708861,0.020041261420571766
1,3,2,2589,61,0.023561220548474315,0.7721518987341772,0.04572713643178411
1,3,3,2447,59,0.024111156518185534,0.7468354430379747,0.04671417260490895
1,3,4,2433,59,0.02424989724619811,0.7468354430379747,0.046974522292993634
1,3,5,2432,59,0.02425986842105263,0.7468354430379747,0.04699322978892871
1,3,6,2432,59,0.02425986842105263,0.7468354430379747,0.04699322978892871
1,3,7,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,3,8,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,3,9,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,3,10,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,3,11,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,3,12,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,3,13,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,3,14,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,3,15,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,4,1,6707,68,0.010138661100342925,0.8607594936708861,0.020041261420571766
1,4,2,2589,61,0.023561220548474315,0.7721518987341772,0.04572713643178411
1,4,3,2447,59,0.024111156518185534,0.7468354430379747,0.04671417260490895
1,4,4,2433,59,0.02424989724619811,0.7468354430379747,0.046974522292993634
1,4,5,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,4,6,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,4,7,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,4,8,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,4,9,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,4,10,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,4,11,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,4,12,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,4,13,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,4,14,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,4,15,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,5,1,6707,68,0.010138661100342925,0.8607594936708861,0.020041261420571766
1,5,2,2589,61,0.023561220548474315,0.7721518987341772,0.04572713643178411
1,5,3,2447,59,0.024111156518185534,0.7468354430379747,0.04671417260490895
1,5,4,2433,59,0.02424989724619811,0.7468354430379747,0.046974522292993634
1,5,5,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
