n_g,n_s,n_b,promoted,KS_gold,KS_silver,KS_bronze,KS_max,KS_mean
3,3,3,3564,0.6312170787630911,0.6456463062802531,0.6371657956525032,0.6456463062802531,0.6380097268986158
3,3,4,3195,0.611676603588813,0.6254577224766459,0.6207686473304723,0.6254577224766459,0.619300991131977
3,3,5,3069,0.603928059538588,0.6174521786237599,0.6142665523231524,0.6174521786237599,0.6118822634951667
3,3,6,3004,0.599676641097487,0.6130597512791397,0.610699027064119,0.6130597512791397,0.6078118064802486
3,3,7,2982,0.5981957182769418,0.611529709957084,0.6094563289759004,0.611529709957084,0.6063939190699754
3,3,8,2974,0.5976517686342301,0.6109677188668529,0.608999880353658,0.6109677188668529,0.605873122618247
3,3,9,2969,0.597310311528604,0.6106149364840916,0.610397419552141,0.6106149364840916,0.6061075558549455
3,3,10,2967,0.597173406448438,0.6104734906052467,0.6109577541091061,0.6109577541091061,0.6062015503875969
3,3,11,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,12,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,13,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,14,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,15,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,16,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,17,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,18,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,19,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,20,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,21,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,22,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,23,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,24,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,25,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,26,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,27,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,28,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,29,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,3,30,2966,0.5971048846711262,0.61040269613217,0.6112382047664947,0.6112382047664947,0.6062485951899302
3,4,3,3259,0.6153829163348814,0.6292869643353532,0.623878753880241,0.6292869643353532,0.6228495448501585
3,4,4,2830,0.5873716461806383,0.6011272735155759,0.6003425177220404,0.6011272735155759,0.5962804791394182
3,4,5,2671,0.5776115346304587,0.5911147452873743,0.5896989477987841,0.5911147452873743,0.5861417425722056
3,4,6,2594,0.5724549179875534,0.5858247678692216,0.5840755684425124,0.5858247678692216,0.5807850847664291
3,4,7,2559,0.5700084149051705,0.5833149931553977,0.5814076146500862,0.5833149931553977,0.5782436742368848
3,4,8,2545,0.5690109722339404,0.5822917545530151,0.5803198862198223,0.5822917545530151,0.5772075376689259
3,4,9,2538,0.5685081243624515,0.5817759019951945,0.5825295991723352,0.5825295991723352,0.577604541843327
3,4,10,2536,0.5683639436692406,0.5816279924909523,0.583163186313406,0.583163186313406,0.5777183741578663
3,4,11,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,12,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,13,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,14,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,15,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,16,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,17,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,18,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,19,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,20,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,21,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,22,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,23,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,24,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,25,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,26,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,27,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,28,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,29,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,4,30,2533,0.568147245722516,0.5814056902869849,0.5841154430232587,0.5841154430232587,0.5778894596775865
3,5,3,3137,0.6081871299282331,0.6218525117128957,0.6178404986202675,0.6218525117128957,0.6159600467537988
3,5,4,2679,0.57813028851989,0.5916469152256703,0.5902646578592415,0.5916469152256703,0.586680620534934
3,5,5,2498,0.5655806444746799,0.5787727114206703,0.5765790546547668,0.5787727114206703,0.573644136850039
3,5,6,2410,0.5587981230218331,0.572793999100544,0.5691825980704122,0.572793999100544,0.5669249067309298
3,5,7,2367,0.5553005150056632,0.5699295787424739,0.5653683962251925,0.5699295787424739,0.5635328299911099
3,5,8,2348,0.5537142518716708,0.5686304839344628,0.5636385489282094,0.5686304839344628,0.561994428244781
3,5,9,2337,0.5527841000076129,0.5678687216320016,0.567331091457508,0.5678687216320016,0.5626613043657075
3,5,10,2332,0.5523584028735088,0.5675200903583818,0.5690210356838439,0.5690210356838439,0.5629665096385782
3,5,11,2328,0.5520165285771509,0.5672401070984335,0.5703782176965404,0.5703782176965404,0.5632116177907083
3,5,12,2327,0.5519308763576509,0.5671699608841878,0.5707182422403315,0.5707182422403315,0.5632730264940567
3,5,13,2327,0.5519308763576509,0.5671699608841878,0.5707182422403315,0.5707182422403315,0.5632730264940567
3,5,14,2327,0.5519308763576509,0.5671699608841878,0.5707182422403315,0.5707182422403315,0.5632730264940567
3,5,15,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,16,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,17,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,18,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,19,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,20,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,21,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,22,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,23,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,24,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,25,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,26,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,27,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,28,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,29,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,5,30,2326,0.5518451504904986,0.5670997543550546,0.5710585591526041,0.5710585591526041,0.5633344879993857
3,6,3,3103,0.6060809283449554,0.619676452697337,0.6160731055835537,0.619676452697337,0.6139434955419487
3,6,4,2628,0.574769121588182,0.5881988215629698,0.58659924736906,0.5881988215629698,0.5831890635067373
3,6,5,2439,0.5610873409347591,0.5746687896326816,0.5716790296737323,0.5746687896326816,0.5691450534137243
3,6,6,2341,0.553123348437081,0.5681465543975143,0.562994158544799,0.5681465543975143,0.5614213537931314
3,6,7,2292,0.5488859623764708,0.5646762813306352,0.5586767524277562,0.5646762813306352,0.5574129987116208
3,6,8,2271,0.547159301191605,0.5631431790000891,0.5570427881017794,0.5631431790000891,0.5557817560978245
3,6,9,2258,0.5462263689567292,0.5621798250619021,0.560806294728491,0.5621798250619021,0.5564041629157074
3,6,10,2253,0.5458646821279874,0.5618063440974407,0.5625410155239503,0.5625410155239503,0.5567373472497928
3,6,11,2249,0.5455741747525145,0.561506363655376,0.5639343457351188,0.5639343457351188,0.5570049613810032
3,6,12,2248,0.5455013863720717,0.5614312017407884,0.5642834530489269,0.5642834530489269,0.5570720137205957
3,6,13,2247,0.5454285332044635,0.5613559729264104,0.5646328710946565,0.5646328710946565,0.5571391257418434
3,6,14,2247,0.5454285332044635,0.5613559729264104,0.5646328710946565,0.5646328710946565,0.5571391257418434
3,6,15,2246,0.545355615163153,0.5612806771228833,0.5649826002873547,0.5649826002873547,0.5572062975244636
3,6,16,2246,0.545355615163153,0.5612806771228833,0.5649826002873547,0.5649826002873547,0.5572062975244636
3,6,17,2246,0.545355615163153,0.5612806771228833,0.5649826002873547,0.5649826002873547,0.5572062975244636
3,6,18,2246,0.545355615163153,0.5612806771228833,0.5649826002873547,0.5649826002873547,0.5572062975244636
3,6,19,2246,0.545355615163153,0.5612806771228833,0.5649826002873547,0.5649826002873547,0.5572062975244636
3,6,20,2246,0.545355615163153,0.5612806771228833,0.5649826002873547,0.5649826002873547,0.5572062975244636
3,6,21,2246,0.545355615163153,0.5612806771228833,0.5649826002873547,0.5649826002873547,0.5572062975244636
